  0.19375172566172008            (0.12637783003156686,-6.75259223890727622E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.20096438111787321                (-0.19605645822643072,-0.11875865226597698)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.20001220001439296      (-1.88575078489355320E-002,-5.79590725614193489E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21040138936654115                 (-0.20410577441293298,0.22654277786910065)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21895815681838679       (1.98371264104850661E-002,-1.89128652666087083E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.19326099409463551      (-6.33753134174874916E-002,-1.38587960746713052E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.18069025788442136       (2.02739937146836496E-002,-1.81763604881363047E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.20190917306053011       (4.01972129575190185E-002,-4.62535447460168461E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21372736164388159                 (-0.10139899768161445,0.10788575032753164)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.20214904249005469      (-2.89344929142651463E-003,-2.63020747478575657E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.17272058785524153            (-2.76755234563082902E-002,0.11637863833442577)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.18680727350074794             (0.14639596624668497,5.06923562441039810E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.17845506468793931       (-4.78853990738128676E-002,5.20891564956858649E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.20961526697305374       (1.25581946667458564E-002,-2.44966279798542151E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21019464317636422             (4.83917010998062835E-002,0.10308925610941680)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.19749305079378604       (-1.28446203588247886E-002,1.06394030729781482E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21045803259019064       (5.84137391532836558E-002,-2.40641494033748994E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21906148223335925            (-0.12281173112871381,8.98134968379214749E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21068904584529516            (-2.16775671076428963E-002,0.10385360315942378)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.20029188841164483        (6.98216161492080239E-002,4.09384708727003888E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.20227941997291124       (-7.34083109264934974E-002,9.75800387663578184E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.19151088578872424       (5.96225694443794918E-002,-4.71841271873606402E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.18781151366032842             (0.12238158457338977,3.33149961844117770E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.19336730200315502       (6.89803779438256243E-002,-6.14718760827268340E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.19480051360737050             (0.16882650928729120,9.07131401893126882E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.19547244675537309        (2.34339011607035130E-002,5.09378839904859049E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.19928424866290564             (0.19913828530976255,9.88040918552312609E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
