  0.33938031755154185             (0.11526106088075588,6.54585496855437932E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32344342567305484             (0.19867876114619262,5.83965749689559221E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.34877323311434738            (0.14570425892829797,-2.27405792495145691E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.34416790869771818       (-4.66344562312252936E-002,3.71918916056525606E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33681819912272215             (0.20686790781320769,2.54782286355520401E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32596168359575861       (2.07342282686375536E-002,-3.19958927829944086E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32110981119622400             (1.57578254545528221E-002,0.12568147954011344)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32684903376166224            (0.22364862413210310,-2.26833011641611043E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32670828574295663             (0.12766392273843521,1.74955931760991598E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32953790471859729      (-3.08510356453726856E-003,-1.84502683988830712E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32259857362269528                  (0.18107023588236640,0.20305693190244731)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31728965592110081       (-7.34334620619166295E-002,2.81667133078839955E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31560568194796357            (0.14628879746271906,-4.11577836918390755E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33208358205624905             (0.11230606268262966,8.62963752501460513E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33586282271267920        (5.49188187681132756E-002,3.44816608961038022E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32621966143695325        (7.79070760022047403E-003,9.49475728519322965E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33422128910125970      (-7.75068343787773811E-002,-5.18373720347157438E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.30218379727649181            (2.51570130498962874E-002,-0.13932846823637221)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31831542056395501            (0.12569796534129821,-3.66120060354489588E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32483849730784770            (0.20363824725364335,-2.95163031099490367E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32990562382847677             (3.89874216928588688E-002,0.13307556640256654)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33397679150666482            (3.65057575617529703E-002,-0.12872707351118251)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32419465472277659      (-1.85639838037850377E-002,-3.83291577192765992E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31471287783531809        (6.61505803595460878E-002,3.68247647572549144E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33203065111858537                 (-0.12470778439917142,0.17722250370470338)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32939418268227111             (0.12308844837075128,3.04896306866653533E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33901259403395734      (-4.50619828719794543E-003,-5.69308632751841306E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32538358089859831      (-1.73183393573134170E-002,-9.32709745229600706E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32148622285164741        (4.03729989168525108E-002,3.53271347734184574E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.30230392444390863            (0.19565862755963612,-2.59506980015514269E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33104407601291236      (-5.84011220153299107E-002,-2.61895975871184183E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32086144750021806        (3.08091729699075598E-002,3.67801574747353005E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.34595131462698009        (3.07967241714866037E-002,4.88202854409693285E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.34980232140115547        (5.29737363925938051E-002,1.34249237094798551E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33613773769426714        (2.17451890769092132E-002,7.31283988755385556E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31732721093138327             (1.14095034902928650E-002,0.12922464141284298)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31324629699424539       (4.87912532472712726E-002,-2.71216887538644306E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.34262173564315035             (0.16201110340804187,4.73413548216375449E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.35329577667480716       (1.66424195019083676E-002,-1.05195300697535424E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.34561698579082412             (0.11262903750890811,5.99233734470705215E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.34626766564416744      (-8.55363508020595409E-002,-2.73662992716883074E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.36779096720260446            (0.11243497937048177,-7.44631477657567709E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31463786463415022            (0.11569516239620820,-2.46107223903604191E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31997413393520663           (-0.13702777844858982,-8.52982977219638727E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.30539540714707736       (7.69802634376903355E-002,-2.75645724411364215E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.29354910308956372            (-0.10267736682279291,8.76187354884830905E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.28806276117634644        (9.88995511798197030E-002,6.81583117372761144E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32214520567891974           (-0.10478743268641159,-3.37791366442932034E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32626176396913559       (7.66440395886768266E-002,-9.75791434385636924E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.29539999485878171      (-3.37612082727748800E-002,-8.62750608346145587E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31251135423052590       (-1.14097684886773146E-002,8.12349004917695995E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.30676323561729285        (2.50381342803200520E-002,8.75577413238835811E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31103034200936691        (5.67455457861506998E-003,4.60859939723350931E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.31926168228725971            (-6.73375536924898932E-002,0.13062869413189188)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.34267666935254887       (4.08655939400943968E-002,-4.68878236413686200E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32412558087937182            (-0.10800374060228725,7.57972007043612173E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32308478043934458      (-2.42057293487170262E-002,-5.01516997447473342E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32760700007711652       (5.37870590191889732E-003,-5.21927258053427531E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.33505623452511918       (3.05504116625548473E-002,-1.24888177461129554E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32546540040234723        (9.24067415230485495E-002,2.32556687436345430E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32106671261395786       (-1.82246593179298672E-002,2.90523170799147426E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32084264734500695             (1.16140338024494309E-002,0.12232321511610834)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.32000684770813975             (0.13599358689758761,4.11758133781897351E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
