   2.1210388342840978E-002   (6.79320271497159400E-002,7.20187191762628777E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.2441810807449659E-002 (-3.12076060209277827E-002,-5.58009316882274869E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   8.2928209920515826E-003   (2.06395353430617948E-002,6.66501802035663338E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.8870634279461295E-002      (-0.19582237517914275,-5.10462736149291385E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.7960765681851634E-002  (-7.66916722790282890E-002,8.29610804800881285E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   5.3083237458659855E-003      (-0.11078080386671078,-5.22521847155914126E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  -8.7617868907722770E-004  (-1.78790187483713510E-002,1.26278809739412395E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.4134855830150939E-002 (-8.84029434537980385E-002,-9.01015885063976285E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.9367333183880387E-002  (-6.51594806533186896E-003,2.57394313241943833E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   5.6787290539550466E-003       (-2.98188006457952882E-002,0.12784943531876553)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.8072524745050625E-002   (4.98336775443614100E-002,3.36263161639774322E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   9.5024073688805746E-003  (-6.57046518479297292E-002,8.14587799284464537E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.1945210502042165E-002           (-0.10407721077688950,-0.10157799956438639)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.2381482074254534E-002 (-3.43229425933301024E-002,-6.34284927115338903E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.5771932381646696E-002             (0.15816245567984333,0.13700847318833723)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.4843825367377715E-002   (3.20313051765512991E-003,5.80293210234470447E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.9590795770132494E-002       (-0.18261387472731161,6.49443212522978208E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.5641073084036597E-003 (-7.92685504535746710E-002,-7.75458278113657917E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.4945029776011859E-002  (-6.22848352767119001E-002,3.42071116904035383E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   5.0905156369471022E-003 (-1.81173251521947604E-002,-7.92622738824084877E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.3307008123236234E-002       (-0.13344092796703094,6.51211662390656920E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.3300285848669989E-002        (2.98502100024655367E-002,0.17201260901021712)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.3563712463432580E-003  (3.18013334326557734E-002,-6.32968004315590388E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.3064415381749555E-002       (0.15867951349196621,-5.97255846922021341E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.1181516864933761E-002  (-3.02218198056944561E-003,3.35639913216586455E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.2906997535426282E-002  (-4.50203488281219824E-002,6.52820794851370900E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.9384970608676503E-003        (0.14098269142710407,1.84526299831906625E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   9.3134340429973199E-003       (5.01875944207331726E-002,-0.14329932669152770)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.7911531322907428E-002  (-5.86943627946043128E-002,2.19602534074269133E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   3.3456785416391376E-002  (1.86878647832739095E-002,-6.98611762421712384E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  -6.1206195024447784E-004        (0.17460511531565318,9.25720371816704524E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.4340034741802943E-002 (-3.25300529456213142E-002,-6.20084825841119985E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   6.4424556388168264E-003  (-1.02651381650639816E-002,4.14230127933460576E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.6271700821166815E-002 (-3.66378776780460630E-002,-5.83592680180485129E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  -2.5564006956191811E-003       (-2.88339913055454672E-002,0.15385032515992067)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.7335595433371149E-003 (-8.83932926070372764E-003,-6.68315040642506047E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.2996066692626715E-002   (1.26427463149832425E-003,8.22321341719351173E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.4746107872814373E-002       (-8.78569150015029166E-002,0.14776961548760548)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.5189669390589156E-002  (9.40360061272942083E-002,-2.44165099909269927E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   6.8741342183550880E-003  (-8.22298452668935032E-002,5.24390626423719142E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   9.4294316141591700E-003        (0.14257395676047091,3.64771483888100476E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  -2.0541098129487072E-003  (5.66184866094363373E-002,-6.20762336625393790E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   6.3493972907182460E-003  (4.17348286368323523E-002,-2.00359409938819866E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   7.0442854322571068E-003       (-0.11880418156643111,8.62432076835725481E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   4.9575836564963562E-003  (-6.27635284846214409E-003,4.50628957942549660E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.6467107183983875E-002 (-2.47867147420065409E-002,-2.21856833865116954E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.6296828540164704E-002  (-2.46704375504529748E-002,4.51325040696544041E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.7377097300302515E-002  (6.26809315579622689E-002,-2.01630150283179273E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   2.3363445978315835E-002  (-6.72712086054502306E-002,2.18547224368688987E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  -5.7758423020421680E-003  (3.31738061351728938E-002,-8.25208085564453075E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.5148964212493669E-003 (-1.10712163234303797E-002,-1.09245363097682513E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   8.4556212442339889E-003 (-2.57279175493615904E-002,-1.40787580015278250E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.4364538209694576E-002             (0.20690661078024225,0.14513884996268056)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   7.0516151305324588E-003 (-5.29353159231746168E-002,-3.10998683647962064E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   4.5295217279451251E-003       (-6.72891960416822227E-002,0.23273626382512289)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   3.4010600094234233E-002 (-4.93496164121525957E-002,-7.94418079465472465E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   9.4346901814994826E-005      (-0.13444581286751331,-6.25990815047790389E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.3248514796853333E-002       (2.91637463955399315E-002,-0.19018653447016559)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   1.3183336719746292E-002 (-1.73806136853633920E-003,-2.46271569272747959E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
   3.4517998343713413E-002       (-0.13039193740661825,1.73264995770718265E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
