# step                t               action                    Q
   130        13.000000   -196578.1213377249        -0.0534066825
   131        13.100000   -196578.3583410318        -0.0534545717
   132        13.200000   -196578.5922416023        -0.0535003364
   133        13.300000   -196578.8231220267        -0.0535438973
   134        13.400000   -196579.0510615648        -0.0535851790
   135        13.500000   -196579.2761361733        -0.0536241099
   136        13.600000   -196579.4984186310        -0.0536606221
   137        13.700000   -196579.7179785762        -0.0536946522
   138        13.800000   -196579.9348825621        -0.0537261407
   139        13.900000   -196580.1491941866        -0.0537550326
   140        14.000000   -196580.3609740943        -0.0537812773
   141        14.100000   -196580.5702800764        -0.0538048285
   142        14.200000   -196580.7771671035        -0.0538256449
   143        14.300000   -196580.9816874204        -0.0538436896
   144        14.400000   -196581.1838906019        -0.0538589303
   145        14.500000   -196581.3838235725        -0.0538713397
   146        14.600000   -196581.5815307245        -0.0538808953
   147        14.700000   -196581.7770539538        -0.0538875791
   148        14.800000   -196581.9704327343        -0.0538913784
   149        14.900000   -196582.1617041472        -0.0538922849
   150        15.000000   -196582.3509029866        -0.0538902954
   151        15.100000   -196582.5380617985        -0.0538854114
   152        15.200000   -196582.7232109920        -0.0538776391
   153        15.300000   -196582.9063788316        -0.0538669896
   154        15.400000   -196583.0875915840        -0.0538534784
   155        15.500000   -196583.2668735437        -0.0538371258
   156        15.600000   -196583.4442471018        -0.0538179566
   157        15.700000   -196583.6197328754        -0.0537959998
   158        15.800000   -196583.7933497120        -0.0537712890
   159        15.900000   -196583.9651148254        -0.0537438617
   160        16.000000   -196584.1350438274        -0.0537137597
   161        16.100000   -196584.3031508590        -0.0536810285
   162        16.200000   -196584.4694485883        -0.0536457177
   163        16.300000   -196584.6339484061        -0.0536078801
   164        16.400000   -196584.7966604120        -0.0535675724
   165        16.500000   -196584.9575935575        -0.0535248542
   166        16.600000   -196585.1167556609        -0.0534797884
   167        16.700000   -196585.2741535856        -0.0534324407
   168        16.800000   -196585.4297932248        -0.0533828797
   169        16.900000   -196585.5836796885        -0.0533311763
