# step                t               action                    Q
     0         0.000000   -116866.8297356609         1.6262944366
     1         0.100000   -161874.0754962284         2.1678671350
     2         0.200000   -181122.8580400229         2.2060980207
     3         0.300000   -188849.8193744496         2.0081971849
     4         0.400000   -192198.7265551990         1.7398432749
     5         0.500000   -193811.3409659662         1.5040537539
     6         0.600000   -194672.5315254035         1.3239045017
     7         0.700000   -195176.8091124763         1.1886196557
     8         0.800000   -195495.9754388260         1.0852152570
     9         0.900000   -195711.2599719225         1.0069375668
    10         1.000000   -195864.0930736939         0.9507842557
    11         1.100000   -195977.1070420718         0.9133376013
    12         1.200000   -196063.4547457017         0.8899530249
    13         1.300000   -196131.2055803477         0.8761245951
    14         1.400000   -196185.5432660713         0.8684168849
    15         1.500000   -196229.9299440837         0.8645309759
    16         1.600000   -196266.7560393597         0.8630192639
    17         1.700000   -196297.7198490911         0.8629892702
    18         1.800000   -196324.0581156189         0.8638906087
    19         1.900000   -196346.6909932542         0.8653801304
    20         2.000000   -196366.3160262991         0.8672405814
    21         2.100000   -196383.4707601700         0.8693321536
    22         2.200000   -196398.5754861797         0.8715634800
    23         2.300000   -196411.9630690195         0.8738740333
    24         2.400000   -196423.9001733520         0.8762232552
    25         2.500000   -196434.6026389553         0.8785837176
    26         2.600000   -196444.2467969287         0.8809367412
    27         2.700000   -196452.9779196099         0.8832695380
    28         2.800000   -196460.9166140155         0.8855733211
    29         2.900000   -196468.1637174256         0.8878420356
    30         3.000000   -196474.8040873588         0.8900714995
    31         3.100000   -196480.9095652027         0.8922588164
    32         3.200000   -196486.5413149672         0.8944019734
    33         3.300000   -196491.7516845097         0.8964995657
    34         3.400000   -196496.5856983811         0.8985506091
    35         3.500000   -196501.0822636366         0.9005544123
    36         3.600000   -196505.2751502872         0.9025104934
    37         3.700000   -196509.1937934477         0.9044185238
    38         3.800000   -196512.8639531658         0.9062782940
    39         3.900000   -196516.3082603086         0.9080896919
    40         4.000000   -196519.5466701365         0.9098526903
    41         4.100000   -196522.5968411503         0.9115673405
    42         4.200000   -196525.4744527676         0.9132337690
    43         4.300000   -196528.1934728205         0.9148521754
    44         4.400000   -196530.7663837759         0.9164228324
    45         4.500000   -196533.2043746813         0.9179460842
    46         4.600000   -196535.5175045610         0.9194223458
    47         4.700000   -196537.7148421053         0.9208521014
    48         4.800000   -196539.8045854266         0.9222359017
    49         4.900000   -196541.7941649898         0.9235743609
    50         5.000000   -196543.6903324680         0.9248681533
    51         5.100000   -196545.4992375970         0.9261180091
    52         5.200000   -196547.2264948506         0.9273247096
    53         5.300000   -196548.8772414459         0.9284890829
    54         5.400000   -196550.4561879913         0.9296119981
    55         5.500000   -196551.9676627241         0.9306943611
    56         5.600000   -196553.4156504185         0.9317371089
    57         5.700000   -196554.8038264508         0.9327412047
    58         5.800000   -196556.1355869806         0.9337076330
    59         5.900000   -196557.4140754869         0.9346373952
    60         6.000000   -196558.6422063982         0.9355315045
    61         6.100000   -196559.8226859796         0.9363909822
    62         6.200000   -196560.9580309434         0.9372168537
    63         6.300000   -196562.0505851075         0.9380101443
    64         6.400000   -196563.1025342339         0.9387718766
    65         6.500000   -196564.1159193231         0.9395030666
    66         6.600000   -196565.0926485901         0.9402047216
    67         6.700000   -196566.0345082229         0.9408778371
    68         6.800000   -196566.9431720980         0.9415233950
    69         6.900000   -196567.8202105105         0.9421423612
    70         7.000000   -196568.6670981543         0.9427356841
    71         7.100000   -196569.4852212900         0.9433042931
    72         7.200000   -196570.2758843991         0.9438490970
    73         7.300000   -196571.0403159619         0.9443709835
    74         7.400000   -196571.7796740588         0.9448708174
    75         7.500000   -196572.4950512856         0.9453494409
    76         7.600000   -196573.1874792851         0.9458076721
    77         7.700000   -196573.8579329303         0.9462463052
    78         7.800000   -196574.5073341740         0.9466661101
    79         7.900000   -196575.1365555420         0.9470678319
    80         8.000000   -196575.7464233683         0.9474521914
    81         8.100000   -196576.3377208082         0.9478198846
    82         8.200000   -196576.9111905817         0.9481715832
    83         8.300000   -196577.4675375102         0.9485079348
    84         8.400000   -196578.0074308948         0.9488295631
    85         8.500000   -196578.5315066745         0.9491370681
    86         8.600000   -196579.0403694798         0.9494310269
    87         8.700000   -196579.5345944906         0.9497119937
    88         8.800000   -196580.0147291925         0.9499805006
    89         8.900000   -196580.4812949887         0.9502370583
    90         9.000000   -196580.9347887142         0.9504821561
    91         9.100000   -196581.3756840698         0.9507162628
    92         9.200000   -196581.8044328992         0.9509398275
    93         9.300000   -196582.2214664363         0.9511532798
    94         9.400000   -196582.6271964249         0.9513570306
    95         9.500000   -196583.0220162374         0.9515514730
    96         9.600000   -196583.4063018175         0.9517369825
    97         9.700000   -196583.7804126608         0.9519139176
    98         9.800000   -196584.1446926645         0.9520826209
    99         9.900000   -196584.4994709834         0.9522434194
   100        10.000000   -196584.8450627625         0.9523966250
   101        10.100000   -196585.1817698836         0.9525425354
   102        10.200000   -196585.5098816474         0.9526814346
   103        10.300000   -196585.8296754029         0.9528135932
   104        10.400000   -196586.1414171749         0.9529392694
   105        10.500000   -196586.4453621893         0.9530587093
   106        10.600000   -196586.7417554400         0.9531721475
   107        10.700000   -196587.0308321619         0.9532798075
   108        10.800000   -196587.3128183590         0.9533819025
   109        10.900000   -196587.5879311885         0.9534786357
   110        11.000000   -196587.8563794252         0.9535702006
   111        11.100000   -196588.1183638158         0.9536567818
   112        11.200000   -196588.3740775081         0.9537385553
   113        11.300000   -196588.6237063801         0.9538156889
   114        11.400000   -196588.8674293876         0.9538883426
   115        11.500000   -196589.1054188478         0.9539566691
   116        11.600000   -196589.3378407840         0.9540208138
   117        11.700000   -196589.5648551784         0.9540809159
   118        11.800000   -196589.7866162786         0.9541371078
   119        11.900000   -196590.0032728013         0.9541895164
   120        12.000000   -196590.2149682400         0.9542382627
   121        12.100000   -196590.4218410119         0.9542834622
   122        12.200000   -196590.6240247877         0.9543252255
   123        12.300000   -196590.8216485654         0.9543636584
   124        12.400000   -196591.0148370066         0.9543988621
   125        12.500000   -196591.2037104862         0.9544309334
   126        12.600000   -196591.3883853889         0.9544599651
   127        12.700000   -196591.5689741980         0.9544860462
   128        12.800000   -196591.7455856808         0.9545092619
   129        12.900000   -196591.9183250804         0.9545296941
   130        13.000000   -196592.0872941728         0.9545474213
   131        13.100000   -196592.2525915044         0.9545625189
   132        13.200000   -196592.4143124380         0.9545750596
   133        13.300000   -196592.5725493364         0.9545851130
   134        13.400000   -196592.7273916598         0.9545927462
   135        13.500000   -196592.8789260556         0.9545980240
   136        13.600000   -196593.0272365242         0.9546010087
   137        13.700000   -196593.1724044773         0.9546017602
   138        13.800000   -196593.3145088431         0.9546003366
   139        13.900000   -196593.4536261541         0.9545967938
   140        14.000000   -196593.5898306703         0.9545911859
   141        14.100000   -196593.7231944226         0.9545835652
   142        14.200000   -196593.8537873305         0.9545739822
   143        14.300000   -196593.9816772399         0.9545624859
   144        14.400000   -196594.1069300496         0.9545491236
   145        14.500000   -196594.2296097174         0.9545339413
   146        14.600000   -196594.3497783969         0.9545169836
   147        14.700000   -196594.4674964310         0.9544982936
   148        14.800000   -196594.5828224962         0.9544779134
   149        14.900000   -196594.6958135920         0.9544558835
   150        15.000000   -196594.8065251265         0.9544322438
   151        15.100000   -196594.9150109536         0.9544070326
   152        15.200000   -196595.0213234676         0.9543802873
   153        15.300000   -196595.1255136130         0.9543520446
   154        15.400000   -196595.2276309285         0.9543223398
   155        15.500000   -196595.3277236384         0.9542912075
   156        15.600000   -196595.4258386346         0.9542586814
   157        15.700000   -196595.5220215722         0.9542247943
   158        15.800000   -196595.6163168951         0.9541895783
   159        15.900000   -196595.7087678279         0.9541530646
   160        16.000000   -196595.7994165042         0.9541152837
   161        16.100000   -196595.8883039278         0.9540762653
   162        16.200000   -196595.9754700139         0.9540360385
   163        16.300000   -196596.0609536707         0.9539946317
   164        16.400000   -196596.1447927829         0.9539520727
   165        16.500000   -196596.2270242659         0.9539083885
   166        16.600000   -196596.3076840882         0.9538636055
   167        16.700000   -196596.3868072889         0.9538177498
   168        16.800000   -196596.4644280321         0.9537708466
   169        16.900000   -196596.5405796141         0.9537229206
   170        17.000000   -196596.6152944702         0.9536739962
   171        17.100000   -196596.6886042694         0.9536240970
   172        17.200000   -196596.7605398359         0.9535732461
   173        17.300000   -196596.8311312584         0.9535214663
   174        17.400000   -196596.9004078709         0.9534687798
   175        17.500000   -196596.9683982669         0.9534152082
   176        17.600000   -196597.0351303682         0.9533607729
   177        17.700000   -196597.1006313849         0.9533054946
   178        17.800000   -196597.1649278619         0.9532493938
   179        17.900000   -196597.2280457168         0.9531924904
   180        18.000000   -196597.2900102106         0.9531348038
   181        18.100000   -196597.3508460152         0.9530763533
   182        18.200000   -196597.4105771864         0.9530171575
   183        18.300000   -196597.4692272203         0.9529572348
   184        18.400000   -196597.5268190383         0.9528966030
   185        18.500000   -196597.5833749928         0.9528352798
   186        18.600000   -196597.6389169444         0.9527732824
   187        18.700000   -196597.6934662072         0.9527106275
   188        18.800000   -196597.7470435901         0.9526473316
   189        18.900000   -196597.7996694091         0.9525834109
   190        19.000000   -196597.8513634958         0.9525188812
   191        19.100000   -196597.9021452397         0.9524537578
   192        19.200000   -196597.9520335481         0.9523880560
   193        19.300000   -196598.0010468880         0.9523217905
   194        19.400000   -196598.0492033055         0.9522549759
   195        19.500000   -196598.0965204135         0.9521876262
   196        19.600000   -196598.1430154272         0.9521197554
   197        19.700000   -196598.1887051465         0.9520513770
   198        19.800000   -196598.2336059891         0.9519825044
   199        19.900000   -196598.2777340081         0.9519131505
   200        20.000000   -196598.3211048696         0.9518433280
