  0.50480078021483954             (-60.804456802198132,6.39488462184090167E-014)        (2.1101779192469996,-8.72635297355373041E-014)         (155.38128228586817,1.09912079437890498E-014)         (160.52742973739203,5.27355936696949357E-014)         (57.813347659936632,2.99760216648792266E-014)
  0.50430882991814985              (83.628991300417553,4.90718576884319191E-014)       (-20.510619613504943,-2.58681964737661474E-014)        (-5.7874929553780987,3.18356452311263638E-014)         (157.27271793766690,4.30766533554560738E-014)       (-74.639577738612118,-7.13873404833975655E-014)
  0.50495510463633808             (56.246509368452301,-7.33857419277228473E-014)         (21.433811054239406,7.40518757424979412E-014)         (26.775903837173281,5.66213742558829836E-014)        (18.624686067747344,-1.51822998617490157E-014)        (68.307463808368595,-1.85407245112401142E-014)
  0.50407404447515725             (194.66334582192908,-2.19824158875780995E-014)        (-36.040473419704334,3.78030939884865802E-014)        (-52.798798752745682,2.66453525910037570E-015)       (-21.048310865486304,-5.01682029252492612E-014)        (56.708277879079255,-3.01980662698042579E-014)
  0.50409047170659993             (-90.070359601163517,3.33622018899859540E-014)        (-16.794638944434791,1.33226762955018785E-015)        (79.626249590070827,-3.21964677141295397E-015)       (-32.771829095002225,-2.91766610871491139E-013)         (16.094973445311595,9.28146448586630868E-014)
  0.50387862928761795            (-73.761266710632142,-7.10542735760100186E-015)       (-119.68155236353684,-1.12132525487140811E-014)        (-160.05071240159489,2.20934381900406152E-014)         (228.40439335526631,3.35287353436797275E-014)       (-8.6989463539908698,-7.99360577730112709E-015)
  0.50624004775561626             (-5.5721576327328108,1.55431223447521916E-015)       (-69.433380400882214,-2.47302178735253619E-014)         (142.52598251715955,3.33066907387546962E-014)       (-99.834568352038815,-1.11022302462515654E-014)         (4.0414250288299893,2.66453525910037570E-014)
  0.50430378721418434              (100.84113075420447,2.88657986402540701E-014)        (106.92910884298122,-1.55431223447521916E-014)         (146.02270390819936,3.01980662698042579E-014)        (-116.54665939760913,9.78939151963231780E-014)        (95.774734208212720,-2.57571741713036317E-014)
  0.50638696174614262             (28.082361801491931,-7.61612994892857387E-014)        (60.022216598731468,-4.38538094726936833E-014)        (21.946802098068986,-7.30249194447196714E-014)        (-26.890487454121949,4.65738558830253169E-014)        (-109.98868795576432,1.90958360235526925E-014)
  0.50589620725664630             (119.27530449317132,-2.55351295663786004E-014)        (-105.86028566051803,1.02140518265514402E-014)         (28.848365925862939,6.48370246381091420E-014)        (-150.26856388377595,9.99200722162640886E-015)       (-5.6620739424832429,-1.81521464526213094E-014)
  0.50642755839942066             (-21.147430970745813,3.30846461338296649E-014)       (-80.217755266093519,-2.22044604925031308E-014)        (-31.512649854795857,2.77555756156289135E-014)         (164.63467695422142,1.63202784619898011E-014)       (-48.462617479675572,-8.88178419700125232E-016)
  0.50457970236886152              (217.96266175357991,2.19824158875780995E-014)       (-109.73942339813576,-2.75335310107038822E-014)        (0.44553882025590824,1.08801856413265341E-014)         (47.371812191438217,2.60902410786911787E-014)         (70.399547273894115,2.24265050974281621E-014)
  0.50230720404667950              (25.414363393390289,1.59872115546022542E-014)       (-5.0775364962333382,-5.35682609381638031E-014)        (10.086197003813595,-1.66811009449929770E-014)       (-43.358029075794839,-1.03250741290139558E-014)        (9.6220120906578153,-2.50285903113933728E-014)
  0.50473137093100706            (-107.28045083693722,-1.13797860024078545E-014)        (213.75891226243525,-2.22322160681187597E-014)       (-10.461759470313647,-2.23154827949656465E-014)         (108.14643951128684,2.89768209427165857E-014)        (-47.933891227415728,6.70713484751672695E-014)
  0.50294670852697676             (96.517689766189932,-3.46389583683048841E-014)         (44.409047970009411,2.64233079860787257E-014)       (-106.99565203376191,-7.01660951563098934E-014)         (45.843342321603679,1.77635683940025046E-014)         (108.68304931278472,2.30926389122032560E-014)
  0.50436458838436893            (-14.458979028514490,-3.18078896555107349E-014)        (59.566197187285823,-1.46549439250520663E-014)        (14.519202609740637,-4.19664303308309172E-014)       (-87.659159250641579,-6.08402217494585784E-014)         (17.262112607249701,3.99680288865056355E-015)
  0.50228622845694781             (-143.06395222577507,8.17124146124115214E-014)        (-128.25709881589782,2.22044604925031308E-014)         (46.993848468774665,5.44009282066326705E-014)        (-41.542654855699723,1.95399252334027551E-014)        (117.32246589383753,-1.77635683940025046E-015)
  0.50503341559159409             (85.895590127013506,-8.88178419700125232E-015)        (-150.27756873638816,8.88178419700125232E-015)        (-63.176623098156348,3.55271367880050093E-014)         (6.5360532413683829,3.33066907387546962E-015)         (11.951102065106287,3.37507799486047588E-014)
