  0.36129221443892418                    (1.0825347417742657,0.0000000000000000)      (-0.39088382586156201,-5.53478489641952842E-002)       (0.33238335980565592,-3.58781822821702956E-002)            (0.78836545129485236,-0.40643943576130526)             (0.20729807418625984,0.81305754588755541)            (-0.30971351296441441,0.82286705790832171)
  0.35825292031452999                   (0.55763211372910959,0.0000000000000000)       (4.47563883098577239E-002,-0.15974046283474769)           (-0.68801898378854398,-0.53459223450188564)            (-0.19118433073054619,0.43810270137573321)      (-4.57937856725216808E-002,-0.75149639661939893)      (-5.23709450654952641E-002,-0.30484369135049394)
  0.35465543715506365                    (4.3995003668274952,0.0000000000000000)             (-0.50767733555332062,1.0158415600893544)             (-1.8432942634622469,-2.0742601838888359)               (1.0553860091916358,1.5812115710124659)             (-0.83128700149457013,1.4536163550309273)              (-1.7039626002196691,2.9409972130751800)
  0.35793819639060698                   (0.32418122920459302,0.0000000000000000)            (-0.67170969380941337,0.82547843779288577)            (0.18361654752478213,-0.30299745586412885)             (-0.97649669646904824,1.0354291623425063)            (-0.58057600827465128,0.37427562302116935)      (-7.97797551944239985E-002,-0.13950097494340438)
  0.35863449613427845                    (1.2376620690522822,0.0000000000000000)             (1.0533518869820038,-0.83950521933687394)            (-1.1575106538122413,-0.51464923243063387)             (1.0392785823728938,-0.55452268870517263)           (-0.64061237554172634,-0.69980266167920946)            (-0.39134998490551032,0.32152844734646124)
  0.35942960987523326                    (1.0562907867423825,0.0000000000000000)           (-0.16886789164733587,-0.61028548872877897)             (0.13013704019680836,0.56548793942221742) (-3.60358458255902181E-002,-6.62134370722582410E-002)             (0.58246274491635408,0.36429395425973055)             (-1.0853644261065569,0.13163659362942287)
  0.36439173215496778                   (0.91756112583572569,0.0000000000000000)              (0.65856254767919831,1.7461779691170847)              (0.34638431087850535,1.1311227540590119)            (-0.86228760184340680,0.43847566341888100)           (-0.42427253186616798,-0.24414322588138315)            (-0.58599851609284226,0.68944296335250366)
  0.36789396033670330                   (0.80027184579759525,0.0000000000000000)           (-0.96648963541635791,-0.38830049351315860)       (-3.16590008058545425E-004,0.32613509931376483)            (0.97075817849892465,-0.21972738330268676)             (0.15935150335479825,0.90807423885881400)            (0.10449360988357159,-0.26154425192712488)
  0.37055323396681117                   (0.19668740360411102,0.0000000000000000)       (-1.81416633750177241E-002,0.12486746074553053)           (-0.44229169619106135,-0.12900473004256774)            (0.76997170914545332,-0.30117798249468436)      (-7.81931528681390348E-002,-0.20304162162140937)       (6.18793082094191704E-002,-0.28262435218650012)
  0.35857088901870504                    (1.0764714166058078,0.0000000000000000)       (2.60708729304737763E-002,-0.85774468778420920)            (-0.21011043506678490,0.13459188998344462)       (-0.65495676472693076,6.13042398645231024E-002)             (0.27472980288776733,0.33601989951359884)      (-8.58028248504973945E-002,-0.92400253809677457)
  0.36448884377870550                    (1.4074768022241535,0.0000000000000000)              (0.24417131569488604,1.2337397153842795)            (-0.22574229022146347,0.70691356330051325)            (0.23733606378441688,-0.35631958593239688)             (-0.52861420869641751,1.0373703585850920)             (0.48795507944179312,0.24841802108692515)
  0.35822903325982169                    (1.5831508266152925,0.0000000000000000)            (0.53767189578002050,-0.78547441961709219)           (-0.51868458429755304,-0.55269043957838482)        (0.44543508403801657,5.59906118028164479E-002)            (-1.1276179065113567,-0.20926736357682940)            (-0.80270950471546298,-1.4462056773662910)
  0.35621521025505926                   (0.23351179522630774,0.0000000000000000)      (-7.15324468710963612E-002,-0.16897636189982393)            (0.24432065240776765,-0.63203610106487906)      (-9.64633785857048065E-002,-0.11971276180105783) (-1.59943537376843956E-003,-9.69092348227867106E-002)       (4.63529755777402491E-002,-0.48690602625481794)
  0.36100426032331900                    (2.7053199746704690,0.0000000000000000)             (0.61068923765509076,0.23598614144025878)           (-0.34925726473625301,-0.48506957277393808)            (0.44048295186410841,-0.60261894585460118)              (0.17004876278052206,1.8810478471454264)       (5.48354852485236632E-002,-0.37209100775463888)
  0.36435825153404716                   (0.16752176963033877,0.0000000000000000)             (0.18798922887294911,0.31999688050255115)       (-3.83763366767000957E-004,0.37564219585983522) (-2.25590227268137461E-003,-6.98018439106794231E-002)             (0.46089795890313218,0.25998792187276332)      (-3.78543681967852541E-002,-0.23596262273881891)
  0.36641084460499262              (2.26809440058156481E-002,0.0000000000000000)      (-5.13422049247183460E-002,-0.10130363548492483)       (-0.31480200991720253,2.41585834233824376E-002)       (-2.75316235592881764E-003,0.13115330387082091)  (1.86048031346728766E-002,-8.94651408156835887E-002)       (0.10766383164328786,-5.25253480122364891E-002)
  0.36190690340303094                   (0.41528353354902470,0.0000000000000000)           (-0.14573785233309261,-0.91640487871880150)            (-0.24442227869937116,0.10077744132352712)           (-0.12725306004328663,-0.11531717509998417)           (-0.27618703514809556,-0.66097884003682306)       (-2.95582202061066557E-002,-1.1929179041522282)
  0.35923043350927636                    (1.2679916023489479,0.0000000000000000)             (-0.49282146933134718,1.4591777464014521)            (-0.37588132798282170,-1.0778966297561952)             (1.2261911867552175,-0.38633786538136194)            (-1.0188792605821937,-0.25670069768898124)            (0.85642538995167561,-0.75414448729420058)
  0.36207169336768413                    (2.0695256895881178,0.0000000000000000)            (-0.58502976058850176,0.31710172264446029)            (-0.11604913097401331,0.50164791536667297)             (0.25565685659479365,-1.7451183900816196)            (-0.30408321358787482,0.65628428297983199)             (-1.3664180636847294,0.16411828484814056)
  0.36532490763928016                    (6.8639889704378430,0.0000000000000000)              (0.25067135576606814,1.5682702348370885)       (-9.23892222036758470E-002,-1.6945782188275236)        (2.3807545387472495,-9.01546836596223145E-003)              (2.3262598002769397,0.38585778224163236)              (0.21507592796352126,1.4872364325574363)
  0.35766938790188191                    (2.0030170604852002,0.0000000000000000)             (0.20211910216732815,-1.3069704666000694)           (-0.55891393747694651,-0.16315997083542652)              (1.2370421424049782,0.52605967972370826)             (-1.5362703424765847,-1.9741905528821615)              (-1.2584086349651262,2.1704288774636571)
  0.36181149614712826                    (3.0514777874283152,0.0000000000000000)             (2.8965999697337947,-0.59195707285208776)              (0.32776117939960092,1.3670170544635181)              (1.9345112391410630,0.32130820572252605)           (-0.53910940376248528,-0.99838784652064971)      (-8.85600438797900513E-002,-0.56123909746103429)
  0.35063304585932697                    (1.0238934147683194,0.0000000000000000)            (-0.67869546802476188,-1.9420972426482543)            (-0.80176924084648227,-1.6675706305185807)             (0.73125143834732464,0.14468834976164030)              (1.3286245245637318,0.19342494714539263)            (-0.33866037115046604,0.86857233888020002)
  0.36209890125257005                   (0.47077216720373061,0.0000000000000000)            (-0.13621272366342740,0.73748143188810233)        (7.02181719152999428E-002,0.15958265099783497)            (-0.62000623168909508,0.60590048750270553)             (0.62101103937664870,0.20764501253867848)            (-0.21390549070720544,0.36263980260371564)
  0.35872340053285534                   (0.82608618334921358,0.0000000000000000)           (-0.62049802235308360,-0.56822082040350819)            (-0.74300103344081148,0.24455256811845044)      (-9.26785234712702577E-002,-0.64871313114846474)       (0.45188837575269225,-3.69291312904360958E-002)            (-0.68059585943062673,0.29233547670998217)
  0.36721566410048734              (9.99900598221907522E-002,0.0000000000000000)             (0.20049762280450864,0.14369843814040181)       (0.25794441693401043,-4.03723180933690945E-002)            (-0.16192450325946112,0.22767474508975660)       (8.33394163228141499E-002,-0.16980550616433257)           (-0.22990670617833023,-0.14081707044295638)
  0.35775326818822301                   (0.18459572863885843,0.0000000000000000)            (-0.25320804235389127,0.25602201808892444)        (0.12833597229004262,8.82663122298857905E-002)            (-0.17360962541824509,0.23891747865635454)             (0.11002128870496000,0.61494219272217965)            (0.14452190516966582,-0.15658747079869675)
  0.35962063700378899                    (1.3913968632520666,0.0000000000000000)             (-1.0691368944450463,0.68784632912477039)         (1.3290058598149859,1.65563505225851948E-003)               (2.0652013995360554,1.0124717178091611)             (0.95896001762472838,0.58094334731305253)            (0.72831742258894794,-0.17640255842313640)
  0.36591349036367421              (8.08461263401988733E-002,0.0000000000000000)            (0.11302119319657214,-0.14444682963808342)        (0.22939049663200575,3.18540260814546283E-002)        (7.65384927001501042E-002,0.19557106570839108)            (-0.24639225007975660,0.26398899375602014)            (-0.11032971129396846,0.13398634550754498)
  0.36003200648642186                   (0.52458069819170949,0.0000000000000000)            (-0.94002119152678665,0.41679394227166267)        (9.65346466959850352E-002,0.55176244706604749)            (0.68052608649807012,-0.16628470599496556)            (-0.47625181206339562,0.23386163085925049)           (-0.60512327641573971,-0.12422268982117267)
  0.36348416904070419                    (1.4934614143311451,0.0000000000000000)              (1.1555067815648223,0.48342133133569193)            (-0.52743847396351784,-1.5870643683366765)        (7.46248613644687336E-002,0.24126097236642025)            (-0.66719650036308831,0.75511385146188414)       (-5.34811068682843754E-002,0.71460526800893343)
  0.35286864771663612                   (0.53266252769775935,0.0000000000000000)            (0.28769967248686834,-0.59025332331928382)             (-1.1567410289626154,0.30103683102336065)            (-0.82240157180808238,0.56361641446250299)             (0.41077251508408197,0.29985864126139017)           (-0.15035896095147705,-0.62779276455987709)
  0.36237133687777945                   (0.30571105395190828,0.0000000000000000)             (0.15900432141482956,0.35282789342812126)      (-0.16032270584223435,-3.55041991990215008E-002)           (-0.33766986354747514,-0.30777348896489609)            (-0.75898505185838672,0.37200666338809679)             (0.29184363024863891,0.39271002882509537)
