&INPUT_PARAMETERS
 LX=16         ,
 LT=6          ,
 N_THERMALIZATION=100        ,
 N_MEASUREMENTS=5000       ,
 N_SKIP=10         ,
 ALGORITHM="heatbath            ",
 EQUILIBRIUM=T,
 /
  0.54786978037550937        3.9793746599497429E-002  -1.5157207670694436E-002   752.27551784753473        119.42175503909634        72.351006095793110        36.574828084375881        65.513918342833421       -1.8001894235738689        111.01910432323145     
  0.54872582064067299        4.1694630255383322E-002   8.2833114323805496E-003   646.59251114076835        219.96392240146534       -22.933937010964794        34.736010316948509        19.230388622094100        59.370867152891101        54.965895171861092     
  0.54810589064981785        2.0856442766602527E-002   1.4543240420226623E-002   552.50308077526154        130.19847270840449        48.922489671156768        72.710805613868274        69.314912372403555        88.305057214299623        67.658543123352828     
  0.54985947867239038        3.7345622439856042E-002   7.8814540752728153E-003   549.96528308601182        28.635599551142597        20.278324556676736        144.03329903706268        41.415815339625617        59.676491749966893        81.109914591292352     
  0.55095190262357852        3.3020634622324241E-002   1.0748783962659929E-002   714.58021540135542        224.29711451088136        118.95739755320689        157.08437422640165        122.87100637614408       -161.64645508480331       -46.168196147867029     
  0.54857602614020662        3.9152230467228398E-002  -1.3015911240949496E-002   659.98645159137607        173.70703884697778       -10.065645397567533        44.772917850508350       -122.68301897990121        43.913790572118700        181.84553236169054     
  0.54979733059379943        1.3630176481553105E-002  -1.5041614686977478E-002   585.15052767772420        75.143843307765252       -17.423527550657582        117.17506209417564       -24.801021095476386       -203.67238449055569       -15.058841641794457     
  0.54918040213272212        3.1811070747164803E-003   8.7769876321094138E-004   697.84801053118315       0.51404775985258344       -28.518558346034794       -36.028768605575081        2.5040477878681329       -6.2259045137947835       -80.420274220194585     
  0.54970325848362167        7.6032226393993960E-003  -1.1456751099902390E-002   653.91074131796813        126.33895741083046       -32.216516907689360        7.4707076397018000       -94.379128543218357       -103.67424609956733        10.316171276195364     
  0.54992133331184068        1.4140116553102575E-002  -3.5313475191762020E-002   705.98443070289272        228.86276841423771        94.980700837850875        6.9219965605702898       -12.424534736470001       -56.004037259967504       -26.814567954971235     
  0.55039638694493809        6.5679994485632887E-003  -1.1403141830193001E-002   652.12194772275086        51.309931658527226        21.748067034676321        59.334774122493428        40.520139804787917       -6.0442136380690918        44.042107007344676     
  0.55015784660216405        7.4320769286111378E-003   1.2281767998091032E-002   620.09535083624212        93.814338640961694        10.366155307267212        24.848140311591340        52.044047099243087        27.190029504896856       -97.457696108155986     
  0.54859750120506334       -2.1027684316836544E-002   2.3315584262936697E-002   587.43582722975077        123.52646592605228        44.254798073682132        42.946047674872972       -20.624225800224114       -82.889003466840705        86.988884845099776     
  0.54776432937633035       -2.5999897616132781E-002   2.6663879906698034E-002   739.23191788277302        277.31276775218981        6.1617776242460991        62.023375659535610        31.871384747253064        39.991461815688986        37.037196384817172     
  0.55090007594825152       -1.6459541984668397E-002   7.7658788577509375E-003   591.36789526902783       -62.525002726180396       -34.042327432204011        30.121843070167209       -76.592849495463625       -91.005985485186088       -48.752675046997886     
  0.54929124699096699       -7.3597714145194693E-003   3.1002628367823508E-003   555.57675787058565        36.355025487798585        126.20407519265069       -1.9587624036873201        30.982687275130559       -113.49339428927809       -71.547601293004661     
  0.55094036344890140        3.9320419229255761E-003  -6.9188102952061035E-003   428.53201036330182        181.53706561631435       -41.478648728377138        20.543719463294430       -107.76037842766438       -19.115114572074649        189.34814405831784     
  0.54912243779828984       -2.7543860609104843E-002   1.0108723325110848E-002   661.92049750037506        158.56869753370739        72.067551243186585        105.30915422846137        138.94707898519573       -229.91298306022355        111.57823829776871     
  0.54898948467292896       -2.7312145800363709E-002   1.4757264430309391E-002   526.29477442463860        92.765101135244322       -13.650111284725224        140.01361456988835       -210.87390708916857       -16.634693071440225       -2.2393305083047546     
  0.54981373796201805       -2.8857498252051757E-002   1.5901715789185169E-002   640.04024591128484        72.122918821053361       -18.594779673880975        2.0186420402531127       -132.17377626569163       -23.194377108887092        15.870821392168480     
  0.54684613287143091       -2.3732373536374050E-002  -1.5768069762367481E-002   679.35366133083073       -70.994734271029984        85.808116746095862       -11.100489391162967        5.3442974314839597        100.19831482121984       0.21440967865532934     
  0.54919777868162223       -1.7096985076971806E-002   2.0038878154519504E-002   602.35174644733092       -3.7653154771639552        132.30076391812938       -30.857180123900701        27.673064464282735        24.272990747147389        65.796971584193145     
  0.54847766365463513       -7.2502843503434479E-003   1.3076056026473231E-002   698.12190399641440        95.631538387462044       -9.7052039471571554       -90.879851688582832        110.52725787475860       -17.712368890884498        19.873536005695694     
  0.54694792890970201        3.9189080287546476E-003  -1.5678763955989213E-002   568.85681455460303        205.84182709422151        68.308452799076349        71.239886720797998       -150.32214853628980        10.968658219837941       -107.04001254838494     
  0.55025244468414369        4.6077011068647502E-003   1.2290703749565748E-002   537.82120334555327        145.43901594576775        139.15908515035949        189.53141035597932        11.685579977757090       -3.8376449205961007        93.654838158745491     
  0.55166009235990265       -1.4931787365345388E-002  -8.9811270681146010E-003   583.08042176067659        104.09546741025933        106.77630972535464       -28.053259893203695       -84.270536058973988        27.090933488977868        117.23378531182856     
  0.55084156135038953       -1.4862480961830597E-002  -5.1048443788421320E-003   362.57744504171677        68.009554335442715       -59.137505021654597       -119.91531952473260        26.888216373782058        95.803973187871165        149.17511388968370     
  0.55178607969763183       -7.1903063281381959E-003  -2.5628064054831867E-002   700.03117663271007        71.233875482461301        44.507002042215703       -85.384812032485513       -50.105144844765313        157.62724153375541        154.09942532235948     
  0.55163195927487174        9.0856248357532683E-004  -1.9450363391772224E-002   667.98852781711946        114.13749946691790        72.971870916849767        21.765771706557718       -1.8203614958727585        143.27351003427864       -66.182172357187952     
  0.55222907998548765       -6.9122793492726467E-003  -4.8031759136928287E-003   673.85015300391433        247.27952248981620       -26.077014156561383       -53.516801019999974        109.83778273549865       -73.308986219559756        46.183088187851368     
  0.55086054795107409       -8.4039295155317745E-003  -1.3305680045246930E-002   496.99677046107445        11.066880420872952       -40.791009825871541        112.29246595297107       -74.114398136656249        15.534072642699027        30.417070672357632     
  0.55255155516554300       -2.0366645927291670E-002   2.2504201794554435E-003   735.17331454713747        258.55028225997353        86.308729236982373       -63.308083801248628        3.7205484622019567        43.340065646186389        31.417101474760642     
  0.55050032579645736       -1.0187878475933356E-002  -8.8875339794248394E-003   512.42897368868466        168.83192526459115        45.557042746692950        14.194019504606469       -70.855712987326626       -24.042107206719514       -32.401819613228028     
  0.54830867404953865       -1.7636495073218909E-002   1.5848979649996413E-002   513.62134141989384        71.264787710345217        30.756170872602915        34.829832265840480        42.399202236806509       -27.318525292882697       -36.011284699916466     
  0.54940618693542964        6.7257047382559979E-003   2.0059331222824345E-002   702.74809508766702        27.407003603973074        66.158544757029205        1.1902139234461662       -35.201590534659346        106.33410439983180       -40.244507880635211     
  0.54751445514596953       -1.0299572909248123E-002  -5.5691280768404346E-003   426.74305000288211        32.074493497627024        221.59140298240092        94.808630262242289        132.06036499160945        88.920771286423488        5.6803868224784706     
  0.55027929068997805        1.6021289013860797E-003   1.1078681982027541E-002   595.98836736826217        153.03888311091805        52.326055087693597       -15.011972923724400        120.45372993662761       -6.1512873822680607       -67.198047467173836     
  0.54974241334969320        1.7007932254169689E-003  -1.2107557775922206E-002   593.32873695191995        24.842583467691302       -51.107372826948151        12.519745265627899       -33.339337520146195        20.609209415040294        21.491136960613836     
  0.54890457145216576       -9.1988105727186711E-003  -9.7326714318628979E-003   710.18858789342767        60.623994856327720       -8.7477301057107724        51.801080007838536       -29.525570825091570        145.98823145620952        47.308710773304831     
  0.55018731479428018       -2.7135189375619026E-002  -3.9250919177351252E-003   666.93948488999206        54.857542031909610        40.134756696301153        113.81058523436766       -11.390373380235461        119.81396485543897        20.074614435044499     
  0.54746316215261170       -3.0035006120821762E-002   2.4644653451841386E-002   483.34304420017503        50.224171664691156        36.066795584971445       -24.534791472404553        68.066211539772553        53.416690812357068        29.075830531592427     
  0.54934958856508842       -4.0574699768996150E-002   1.2353648739278186E-003   730.23804191545685        145.46234089187155       -1.1303297896614710       -8.5099772756291525        93.429582470842021        62.051230430363695       -51.298326850516510     
  0.54896866923221421        5.8281980125318667E-003   5.0484000596465933E-002   583.25242211536886        121.83305806091853        6.3325224461696408        34.701361411955702        202.31603862146480        3.5145664347210799       -9.9854675425350621     
  0.54845533427435822       -1.0666821277718737E-002   3.6666889659395636E-002   656.25171339049621        45.940258706095165       -37.898091376571713        30.651732712317521        79.095621546240807        32.683351133349333        155.44773281615423     
  0.54804862190804671       -4.2784091589388208E-002   4.7591757751890328E-003   404.93561511300101       -22.071233665098376        43.007887865289980       -29.882514296003588        94.932735676741117        71.914187882009657        121.40678447426214     
  0.54906722290965271        3.1156204619117197E-003  -1.1409920313398155E-002   706.44346802159237        46.272575695218030        97.803760368489478        46.429180523363797       -83.268622105911405       -34.642626509663913        62.694529760331740     
  0.54897390309656824        1.4522168785959064E-002  -6.6439486347109828E-003   775.29932213798099        244.17163817525005        114.61128775774824        19.786838076461539        197.11355482246745       -6.4379757065901781       -53.102661079325863     
  0.54869131907408131        9.8646025735289657E-003  -2.5859062891118566E-003   488.83665113710828        272.32876908199717        40.047272340307622        86.697832088587660       -36.479890666434869       -63.681344080714105        35.326005972978280     
  0.55082945750069845        2.1370674018066197E-002  -2.0619915781928167E-002   614.86945657125023        198.38577799077243       -14.602759069311180       -87.885171767378083       -147.01064102804921       -82.545687551107306        157.56843025301328     
  0.55015395114099275        3.5761889678060858E-003  -7.8707783626226248E-003   514.08438315930755        183.13736686207440       -52.291314480734449        71.112953091811093        91.433739891290259        61.808940221124963        99.158175153701322     
