&INPUT_PARAMETERS
 LX=16         ,
 LT=6          ,
 N_THERMALIZATION=100        ,
 N_MEASUREMENTS=5000       ,
 N_SKIP=10         ,
 ALGORITHM="heatbath            ",
 EQUILIBRIUM=T,
 /
  0.55156181503900448        2.9294136215660505E-002  -2.2284619439665549E-002   524.94008031793942        107.72896861175003        14.204063734945077       -6.9711076914481103        3.6545248775178631       -50.129290099856384        76.809600932542224     
  0.54853710841924419       -1.1491998453233739E-002  -3.0181968523072641E-002   662.44325434430959        169.23040266319475        3.6221337717524769        141.42743660156506       -49.188118094771333        232.55723760150079        37.827039432197680     
  0.54788482499571955        9.4722080245286337E-003   1.6342449386894922E-003   625.69828727618153        211.51664677224559        65.592814457116972        45.660584589761655        97.121661484983164        45.851943297925665       -66.807372377590312     
  0.54704660845350095        2.3663018074838837E-002  -3.3780294633126335E-004   529.29914282525363        19.930551217291729        39.677437054958460        34.019306582746104        2.6641177843269670        99.178012396366512       -4.3343008017618452     
  0.54795027658668982        1.5132569727211651E-002  -9.4677745488005102E-003   556.18380119222434        213.20184101922794        9.7013579252027977        1.7489979060608167       -94.598683938233307        31.082694377971894       -11.558433416116454     
  0.54972335308496323        1.5831091703492728E-002   9.7317915729530744E-004   420.18394117684278        159.37883248128801       -78.614333684775559       -98.954522350178593       -84.675242511600686        41.857549666538141        202.59249675983608     
  0.54848041469770670        3.1892276704433842E-002  -1.8201357157392715E-003   602.39369245712078        49.371776217418386        56.351715964635297       -11.981166827759472       -116.69024489019114       -100.79044002267801       -126.24867691918566     
  0.54677475532561304        2.5158050324677304E-002  -1.8789633225134712E-003   463.71368883791456        63.570227157751553        73.583344619246290        67.831000164075135       -12.326422902568968       -83.771717008421021        133.97224419428292     
  0.54859344371864793        1.1066361708553607E-002  -1.7188482959232007E-003   749.09093688054918        94.266534203103589       -53.686168544860287       -86.830906847355337       -31.467542960538381       -22.270817519409302        4.6627775866993337     
  0.54829662279135782        3.0544115135595573E-002  -3.6562870001587977E-003   581.65610032513382        27.980927549912540       -117.35607922772215        19.369935437041626       -25.997133706180474        96.487563541369582        97.776946133102641     
  0.54896667030445712        4.1118694341053919E-002  -1.1968508302193884E-002   618.95677245556806        90.521992680224898        18.091845577134563       -10.259979016315858        26.337171282869495        110.09904542634952        1.3951498722099274     
  0.54771066370272625        6.0843294847496973E-003  -1.8868963007139014E-002   620.07118397943611        200.19488818716178        97.336037502776648       -3.0298284215724460       -34.404334686155579       -84.207498186260423        62.002060761248771     
  0.54751333294563653        1.2802755981509310E-002  -2.0646045172536967E-003   359.02377962188763        138.65944881223965       -89.614344794768058        130.32228778885244       -107.89925395350538        105.61111994423831       -4.4072350518841574     
  0.54770965164133023        8.9170829040474669E-003  -9.5701119569020533E-003   461.30816414088730        61.832791862681340       -150.18697980375384       -60.285923366377972       -255.85100656947847       -54.616297613203393        112.47483460556579     
  0.54926015013702689       -6.3802235738472327E-003  -1.0494378331909089E-002   646.78980770523856       -93.356169800202025        98.887763046474987       -67.795740436396216        168.19729624979578       -115.37098043703581        87.092571004017373     
  0.54864606620136025       -2.0092916646366081E-002  -3.4239031668311629E-003   675.96096698931103        80.308404582322353        73.952288696608221       -26.080317639450126       -9.0039408710073268        83.664915266271024        59.415838623143678     
  0.54771933906716053       -8.3882659478007858E-004   6.0405184953598754E-003   677.61478148555523       -28.833641732488783        28.001367945197060       -101.20106541418650        21.959126284730186       -63.635750215749781       -59.775456358580243     
  0.54840891563973648        4.9368814692878358E-003  -2.3829151659294629E-002   402.37413442679616        35.862556595152078       -105.37357372901653        82.665018311142120        54.708162749749732        145.67937024053367        122.79095766856710     
  0.54954244817467002        4.3093116336572904E-003   2.1257057954208558E-003   615.81972071220071        149.09180949257313        19.632918606412723       -76.040545211821126       -20.880452705927333        11.025893729453836       -27.517330240025810     
  0.54832683948592575       -6.3472065758928935E-003   6.5323745381214420E-003   583.86270194659164        182.13101353853949        107.64045645097333       -9.3044623688948018       -121.83505312057051       -53.153782312461935        251.64415865000055     
  0.55016469498244502       -8.2784982812132094E-003   1.3243783764863074E-002   456.56617430963200        75.707447845434785       -48.342691539856965        56.644043323735943       -57.295873515604725        89.347737186223696        144.24714440088448     
  0.54967531606792353        3.6287928665478967E-004   2.1101983941568120E-003   615.58118993530240        204.48360207061316       -53.747190823987154        21.349054668732538       -17.716487816634778        125.56815017312020        4.1006053837777783     
  0.54965045257818534       -1.2126214835763212E-002  -9.4029806190318067E-003   754.00346905760159        108.01839060153065        86.089566554600239       -5.9430592510759066       -53.479524228677157       -29.387994345488014       -103.62968199496801     
  0.54792136934360258        9.8725585906742179E-003  -7.3714497633995983E-003   586.12837608098380        144.94290379222264        110.77153837522054        10.227909337422389       -29.785684359190526       -6.8763495674814763        36.602988377372583     
  0.54885579042280941        2.3203575926411722E-002   7.0314984605037061E-003   646.60648963771700       0.50441976978916370        10.066044187844389       -64.362450985714389        20.662272443894604       -3.3530569354275919       -171.84954993113601     
  0.55074981910630305       -6.5180709699372754E-003   1.2587642738627858E-002   691.95660161507988        93.974190582751362       -27.394924529741370        8.3863388689940468        226.16718668228313        69.208349423966695       -1.6400775576506468     
  0.54853354416802858       -4.7564464503956107E-003  -5.8449971655072019E-003   571.75789595990284        210.71238482375881        28.090468714261021        144.53793046888805        65.174355978867652        133.20034452027002       -51.684313722835896     
  0.55072732073244179        1.1825724977698590E-002   6.8221833117339354E-003   584.19810450538671        195.60640759511395        27.143566050528154        3.3357322992580460        160.92945871379192        126.77150140797966       -192.23675123676051     
  0.54883836915874629        5.2994419823651313E-003   9.4546068772292276E-003   696.44958316792861        78.029962564913845        85.972788046461346        85.667735252616367       -10.103366102850458        11.875202932307378        103.21019201549184     
  0.54965955339954242        1.5180953308225378E-002   1.5009722985466276E-002   552.63562773641490        112.46135320607810       -135.32418062772808       -18.247783468343286        34.404445320662980       -174.37723152659362       -77.328868767722753     
  0.54906232085681739       -8.6726253132021532E-003   1.8344641381843774E-003   547.99963458767047        75.665369318374601        196.67891596669418        19.075546407379107        46.276060014217158       -58.612596197720286       -85.774681755257774     
  0.54935103879438552       -2.6925418695845686E-002   6.8957211330040440E-003   595.88503780327096        12.565766621268521        88.240732612665880        40.166032992204194        38.961161349051402       -50.999730448696184        41.281702444475378     
  0.54788505203676519       -8.7149472151433014E-003  -2.7076379884754479E-003   574.98040615884327       -19.620382704274697       -25.821255075162288       -37.323144343310084        69.421425950328981        104.11786356106676       -25.266246380015154     
  0.54854489386942040       -1.1973889580331522E-002  -1.3054531875437397E-002   484.34724560173851        118.76669538163118        15.119792866969801        57.710558853183045        13.007907351402872        63.721141251937937       -25.869936872257362     
  0.54689448801379270        1.8527697162783206E-002  -1.4076986360466136E-002   557.88286104899953        194.19514527183804        31.121010124810638        25.238570956177906       -16.539840690931101        8.9872969871571993       -3.7021807039187373     
  0.54739332545503017        1.9430292062579575E-003   6.5458663087027726E-003   640.00475426939761        59.719834160832654       -73.085984065508498       -147.91393441790515        35.637749634917071       -12.347771773903021       -51.236372356485042     
  0.54715610422106653       -1.7297415878574710E-002   1.6136013232064417E-002   387.48464797860697        53.637708056609938        89.101484941908595        89.184673482832153       -24.931456970095976       -1.7393216871847570       -36.850584074780322     
  0.54675883306287842        3.1218755455991169E-002   2.6747151343033387E-002   427.91361949006915        191.85683394816519       -19.751023868955656        21.969466797724852        25.411479436204878        90.279196159649644        83.486635748506757     
  0.54781127217501613       -1.5212497827255889E-003   4.3222076336453363E-002   734.04420703943856        42.694108871136422        60.387450977057327        138.95145696980367        8.2740714730489646        53.753803787260544        37.674624493902698     
  0.54772568758102025       -1.3481242244172093E-002   1.1056360325431848E-002   624.20463073353085        170.67314951314543        180.50105246582390       -118.29364026704317        6.7009003528413453        130.43381860445231        36.128271334692748     
  0.54972223088153971       -5.4131019304741552E-003  -1.6333804780578172E-002   652.15177401305141        166.98252931344447       -115.01540044984684        98.798617574924364       -114.00931519089627       -51.845381275576933       -38.432650084727435     
  0.54937943871397377       -7.6815408442061483E-003  -1.7976533254039577E-002   627.82277161532227        9.8402320170245723        70.527753282820143       -35.155472151863492        114.36096672604049       -160.49952550456615       -22.612642992380216     
  0.54970670466754190       -3.2108555335742535E-002  -7.0005589854566924E-003   564.20930082209134        122.38418657358882        20.105887848127502        85.887906022804501        42.608760690525585       -52.541580783250261        36.995247342560177     
  0.54815641141003091        3.5988589711320575E-003   8.3236206947056516E-004   600.15555953555179        120.44518721393543        39.224862138035967        47.842403695339279       -20.478092602015813        25.352956226455841       -85.395827836313529     
  0.54876769050650553       -1.4449292640869738E-002  -5.7970439314365607E-003   434.17466615297263        39.708492277856138       -5.6530088749146028        51.453623124260027       -33.319104527706585       -35.345028126095869        26.070215035805909     
  0.54739956534079048       -1.4189692164238300E-002  -3.9037501493666431E-004   498.79280822145239        35.091431921383858        73.666879184988673        43.916418779213977        38.371542469807849        57.099804928336169        91.773806860089792     
  0.54798442951191528       -1.5285366570709970E-002   1.2864540402674957E-002   615.50877135471410        148.96986934658565        5.8756216572295781        99.718316402106311       -45.011596193943028        37.169931386004343       -102.08389503876720     
  0.54882226594291406       -2.3564820053464303E-002   1.9998134042880782E-004   638.04844733098275       -11.311960206887719       -13.948312824408445       -22.147017433153525        18.044418681713495        105.20031064471064       -115.29697126305174     
  0.54947977513621005       -6.3133649824626470E-003   3.8404638086918116E-003   600.99482659153512        48.826078296836855       -4.8129818386385450        17.532830038566331       -144.18744554745126       -16.252191591075437       -55.385820803421673     
  0.55010352517038719        5.8832575873582022E-003   8.3557460937420981E-003   566.15808700030357       -57.229028473835903       -4.8927108658901206       -62.405632901887337       -18.608611876693342       -31.171260302652808       -151.44453346190065     
