  0.23774013405100772        (8.81697319752766835E-003,3.17969992186600062E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22009397049720233                (-0.16403994215075862,-0.14019080423395358)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22778386964466421             (0.15919975489084034,6.27448519946707667E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23726258473676468                (-0.12756188428410256,-0.17045967152803718)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22030379596747005        (7.32715477426480050E-002,5.02472502259069392E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.24279798443179032        (3.87826010478451583E-002,7.45934781961146987E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23119854562347192       (2.66661841289166750E-002,-5.32731705950699810E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21422912785801188        (3.28174005669334343E-002,1.92889043379062784E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21712084300675827           (-3.25282644958206774E-002,-0.22658330566164675)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22732046461251512           (-1.25349972637254061E-003,-0.12722800226704553)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.24525446152660407            (-0.10887342021498959,2.15861582600474708E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23400687916407692      (-7.63258182738744823E-002,-6.66824037552908450E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23750942530243804       (7.34162456146320586E-002,-6.04676635039762406E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21891025794621771                 (0.11488533649184961,-0.18590999132953509)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22953413123731881       (7.11474552050372216E-003,-4.31421728112053246E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23687086467637314       (-2.94392467976775027E-002,1.72062917446159126E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22524243201787120       (-1.69206438291717130E-002,5.90074095671020357E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22400232584818444             (0.10349362610579591,1.21935949639803455E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23129484032462339       (-2.79706425481608158E-002,7.17243074827663973E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.24516825223917721      (-7.49893016243264876E-002,-5.36613001052867952E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.24504708753301313      (-4.55278522915772248E-003,-9.24729952277475453E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21202147116724188      (-1.79941175665815044E-002,-7.66978945427617027E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22422655555042423                (-0.13354845867397330,-0.13700667668991529)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.24746901275818106       (1.46231138703064884E-002,-5.27823768342509034E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22985725942088889        (5.86187304561876406E-003,9.75210411721988552E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22859483034530079        (2.83953514732436900E-002,9.15148323442539352E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23266036552774649            (-0.10480008043331854,6.44699156648717159E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23740279496715114            (0.13733036572902607,-5.58353483878079506E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23998461356239434        (8.36976275730007442E-003,7.88466779255186795E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23715736469011758       (6.02723003908343519E-002,-1.51096325416194260E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.24158509852855237        (9.77497295491132762E-002,2.58750563626170896E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.24551431008140720       (-7.74266967542970308E-002,1.61593926040912959E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23896640881634001       (-1.94840450948930294E-002,1.05858929804000922E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22314003750328720       (3.50453272507402630E-002,-2.96452654369013073E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22654495837524638           (-0.12983922455774841,-9.81918459658616960E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22696567290260558       (4.47121013773405171E-002,-4.57105697188315840E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.23146062805850004       (-5.76717782700270076E-002,3.63477521923525060E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22058297932072465        (2.39855372482706240E-002,2.68816496786230853E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.22266290669308922        (8.20508163051962558E-003,8.61552780135423635E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.21708751653083419        (9.69088920183855396E-002,7.37612090419307448E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
