&INPUT_PARAMETERS
 LX=7          ,
 LT=3          ,
 N_THERMALIZATION=50         ,
 N_MEASUREMENTS=100        ,
 N_SKIP=1          ,
 ALGORITHM="heatbath            ",
 EQUILIBRIUM=T,
 /
  0.56084210904854659        1.0376676555056732        2.2021741692101911E-002   1179.9563526227398        1106.3058791190153     
  0.56098721852218925        1.0682085820497698       -1.3575346841147173E-002   1243.2958051784394        1172.4617542925271     
  0.56380139500112880       0.98921471870385269        4.0479679286171556E-002   1114.3959707891552        1048.4382058961737     
  0.55949302957723868        1.0230413616257144        1.4854334040973734E-003   1116.4024374793314        1097.8054779696879     
  0.55501931624051859       0.94364474350227456       -1.3627081640394195E-002   991.36091282459665        948.62080307777921     
  0.55480364586921960       0.83982297028292530       -2.8291331099129641E-002   819.50581181103632        761.81819717412191     
  0.55584437779036544       0.86515362999071854       -2.3583509848153984E-002   838.66303381824969        770.27660409367331     
  0.55850516677032658       0.92833911430151395       -9.3589693195455220E-003   962.16627519145686        877.45471117205409     
  0.54796864117680744       0.87465575685204622        1.8057104781131702E-002   900.79537751643807        800.32444585813994     
  0.55392992375685646       0.95291700093682530        2.8436034418501510E-002   1007.5076229819623        977.75814532329855     
  0.54869958060782853       0.99626885179800850       -8.1224563467247480E-004   1095.6175660864149        1041.6634354003813     
  0.55966440842742493        1.0930429725891422       -1.3678797382289562E-002   1292.6131379714425        1270.5058606529510     
  0.55809341111786059        1.0477021895645047        3.1331419635710501E-003   1177.5662432306565        1144.4795250146749     
  0.55135548553866065       0.99285676869123307       -6.2036982775663885E-002   1078.5974675158275        1075.3994942018219     
  0.55858703296806489        1.0225713548456721       -3.9823960011305261E-002   1191.9014992026960        1112.9895435054873     
  0.55637955935948824       0.97105494827011174        8.0701488544926534E-004   1040.8318884090593        966.98102067131970     
  0.55876743687177211       0.99948452275209254       -2.0790636299964298E-002   1098.2623280103087        1010.8224752039478     
  0.55696837304046454       0.93864742520034505       -2.6838166558148944E-002   1018.1864751683204        879.25422988891194     
  0.56204963856958312        1.0360006277683775       -8.9232820294830421E-003   1135.1395645103241        1097.2632770387329     
  0.56233643982651371        1.0308932953032386       -1.2247099748342172E-002   1137.2108493771739        1087.2098654666629     
  0.55692489286745950        1.0223224807647351        4.5813833992588730E-003   1125.2666172988368        1061.9630087014104     
  0.56223531300717777        1.0220517496590213       -3.1527153191128074E-002   1159.1756301572639        1078.9414650352894     
  0.56076859184122818        1.0319848368142699        2.7112354175534950E-003   1181.6207796599895        1128.7153343893367     
  0.56069121783395792        1.1569787189961291       -1.5882410493722444E-002   1415.4700230716510        1373.9803734638192     
  0.56358765499024455        1.1058882927392006       -2.6697733760629141E-002   1301.9575455061267        1272.5888611056664     
  0.55623036225530698        1.0830676458012038        1.4487235085487535E-002   1239.8302109085955        1195.8003821930893     
  0.55901076587070198        1.1779481609968141        4.3117525899154047E-002   1488.0225467111018        1450.1212330848607     
  0.56414620267435545        1.0756470719435112        3.7493694793457747E-003   1256.1871725723379        1165.5030522136356     
  0.55752895366883948        1.1506390528837771       -5.3889977613035493E-003   1440.4671970356897        1346.4273735862093     
  0.55977662496897940        1.1244781981282437       -3.4495037669172034E-003   1351.8120622728397        1328.2152670494331     
  0.56535803730527412        1.0671662303043816        5.2792239961250969E-003   1205.3394449507452        1178.5625263359675     
  0.55467017540381014        1.0650796865103753        2.2214546554574260E-002   1237.3844656254932        1162.6535905182245     
  0.56692574501329029        1.0561574330028545       -3.8495619745701338E-003   1212.1667419485564        1162.4594304665827     
  0.56289731599210990        1.0117608370324500       -2.9918297048251562E-002   1113.6252991125359        1069.3087103223343     
  0.55972811001450251        1.0011709484032849        4.0002063408460131E-002   1108.2171127285176        1052.3917540214907     
  0.55790286735215278        1.0291307292698946       -1.3037358447166178E-002   1157.3510634621084        1099.1745853916018     
  0.55563933970402168        1.0421454443456517        6.7335204914900871E-003   1178.3477857620460        1119.0957036634156     
  0.56018765647829505       0.98772480079892055       -2.9197430881083262E-002   1110.8242297446664        1041.5861817779114     
  0.56601694559260429       0.98423747124292849       -3.3082211671748366E-002   1019.7770510710560        995.51213084180665     
  0.55838697648618862        1.0227025271774211        2.8225826822212509E-002   1165.5758541166888        1098.8919561822577     
  0.56650346723395095       0.98598174651319270        1.4584588663307352E-003   1082.9816281184712        1036.3068473599405     
  0.56197730857759198       0.97192888240809894        2.8698556512143366E-002   1053.4713476973025        998.34070459667396     
  0.56400068836212847       0.97136491394572522        6.7927965092834646E-003   1080.7068350925003        980.25012627637250     
  0.56268145669576464       0.94698328381490215        3.6301045497639073E-002   1012.6113450382180        945.39990529582235     
  0.56765103276471773       0.96727473198137415        3.5531089038135989E-002   1013.4200532714962        935.16424964889131     
  0.56779739363892634       0.94335371810647561        2.6823786438050265E-002   980.78589247878915        950.50676310971562     
  0.56037359000172215       0.92723416483766630        6.0623951425167960E-004   965.03801062658590        920.49713471660857     
  0.56041061213458088       0.91488939955529147        7.5877717130281418E-003   1000.8928063178803        930.08340242571569     
  0.56017286510085285       0.90799583551954710        8.8839426327905271E-003   972.20968578826364        897.07649569135697     
  0.55627272861304322       0.82195524370195250       -4.1684002616183574E-002   815.13401814277586        731.06395202870510     
  0.55819778423040900       0.84469759745130435        1.2302814919183558E-002   801.39677638867056        760.36362700134475     
  0.56089564286336779       0.89327049439761264        2.8898920341640269E-003   928.35573849948798        818.80536144062967     
  0.55760088680108011       0.92099747693677092       -1.0496364410681457E-002   974.29401427185883        897.32007078347249     
