  0.14028524582734708       (7.34018699666257046E-002,-1.11663569592137281E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.16617807282874514        (2.55379340761324562E-002,1.12464275395463033E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.16096681386493297       (-1.58497915732760189E-002,9.29201783755989191E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.15773251940752764       (9.03083610658608760E-003,-6.01701015425979216E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13264704896654209       (1.40162547091194738E-002,-1.71012058143299138E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14598255338618307             (2.95983715233959950E-002,0.16546626749484575)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.16704572531894601        (7.85177369623160926E-002,4.37188375270755325E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.15783262928143554        (7.55400341515049811E-002,3.89575789566170699E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14186442351117312           (-0.11475814515406732,-4.77311842298366595E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.15078395744263562            (-9.60189228265652395E-002,0.16621803796923995)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14065791587370605      (-1.69599337525350967E-002,-6.76538601215238011E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.15433416848709341             (0.17784295969143035,1.15028581470257001E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14129260918805259       (3.24824628057597820E-002,-8.88677743929513347E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14563801613445776            (7.56023253589776234E-002,-0.12838510145769641)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.12829446747222359       (-9.40778794428951404E-002,5.31515810370250322E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13784028205135582       (4.12871138935064774E-002,-1.52021828808254398E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13620101816105434        (1.96686535609592733E-002,3.96120950607186662E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13666958978438160        (1.61598552986726776E-002,4.38550550367464848E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13633522621730140      (-6.65004242137044732E-002,-1.42621267028723974E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14963780423746723           (-2.83631598661131488E-002,-0.11545761222784037)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14803309470257897       (-1.02288438948038244E-002,7.09012722708632359E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.17532093995110298      (-4.16179615264685651E-002,-3.66188040238617368E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13783137238317703      (-4.34229245826222368E-002,-6.04221153251997128E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.15353158657511351        (8.19092781364187256E-002,5.65022091074786001E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.15367441449924227            (0.14971393342498659,-1.50693558980122787E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14380437158918039       (4.42962912156741051E-002,-8.02131431173105369E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14440281549701861       (7.27524153104619903E-002,-2.83269996495984049E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.15003822338908654      (-7.40022563951804185E-002,-6.58107174782443863E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14009540594462827      (-1.84363668896368495E-002,-4.69022638054299723E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13784529017581426       (-5.54020713787310923E-002,5.56283331774050580E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.14963810706620637      (-9.38494199107940269E-002,-4.70234228722908945E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13480798050889842           (-9.78398253331385220E-002,-0.17486797814128957)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.15459113760353188       (1.27504810404235475E-002,-6.58252986362181242E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.12065268756161077      (-2.07227004521172015E-002,-1.21213367527085343E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.16998075495005835           (-1.82023133268099935E-002,-0.17748183361874256)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.16542952380125586            (-8.04106085020496464E-002,0.12643436455800508)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.13854642837189254       (7.97020712625439998E-002,-1.08126288275062522E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
