  0.42367879223062654       (6.19930477656895004E-002,-8.01583614360124735E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.43793198515085957             (0.27082627465950715,2.43655197298942583E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.41849197964588924       (3.05734840630942951E-002,-3.73431218926978947E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.42014795772885211            (-4.47143748710168779E-002,0.16440010876172881)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.41562452511565606            (0.11092651547958275,-9.13680164809505396E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.42113500972810453       (-7.14997658544932243E-003,1.38668684885924834E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.43326850799406424       (5.26515211333883210E-002,-3.92702749999260942E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.42793242005711407        (3.39981309688263816E-002,3.69256778330197405E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.42734132391306801       (-1.04536159552350606E-002,6.33157078340594870E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.43992568536589333                 (0.17575956848266061,-0.13624976346653786)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.43690765078956029            (0.15500550669543620,-3.83830576302847948E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.42104165849819475                 (0.14333765615137906,-0.10549547997127043)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.39826148481124024                 (0.13643708253039913,-0.12994803361327018)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.40992252399669121       (-1.64011145598445124E-002,7.67481362313635340E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.39333033956341446        (7.13404132472694220E-003,5.06379757844876988E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.41048823034148613        (5.70424543676645301E-002,4.46492630624255229E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.39828550039161847        (2.41284513643338291E-002,2.23078956485783485E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.41176407616174615            (7.44541014777507990E-003,-0.15790063185497510)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.40513011890014938       (3.23442124660709989E-004,-1.71676149719893339E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.41476611643174166             (0.12661364292177354,1.59366426267121969E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.41015794529400301       (-3.68884488223789357E-003,1.06656811693726060E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.41561202273275649            (0.14128248104538993,-1.60363592469600809E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.43047586815844763            (-4.94496311924916138E-002,0.10081137069791683)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.41698469466493404       (2.35772873357246657E-002,-8.81111364691818388E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
  0.42417781446112623            (-6.53474864076909884E-002,0.18248575389970023)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
